GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Nigeria,,-1.9152300018,1.8812167672,6.2361692535,2.6722810138,2.5991120476,-6.3474016145,-17.6044134555,-3.4568433576,21.3707311391,22.1003541922,11.5381338131,0.880942469,2.7822090083,8.2775242368,-7.8135040536,5.9102287161,2.8651072345,-8.5970163833,3.6257070801,1.2825380401,-15.4347689154,-2.7650257541,-7.6284959196,-7.1566402054,6.9731118822,-0.081091727,-3.2348654941,7.0938068361,4.4934293981,5.513564574,2.2054063728,0.4482306999,-0.2225549249,-2.2485596755,0.1129437144,1.8886925754,0.3385873279,-0.4646826432,-1.2441819429,2.9252751702,0.6457206986,-0.8974387557,7.6187820051,7.8979587013,2.8190341126,3.5952882838,3.832950366,3.3868588564,4.3526073003,6.0000973747,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,5.4324931547,1.9912455188,3.0032593174,4.2193936993,4.4703679046,2.9612015582,5.3709156079,1.4038796609,3.6566418794,1.2602843295,4.8796527782,4.4660223755,3.7504929951,3.1764911359,4.4473517812,5.2976078198,3.6999329103,3.4582005995,4.0029357492,4.169000096,1.1987399162,-0.2420650831,3.5235998158,5.5956635308,5.0389929625,3.6671224736,1.3047764273,-0.7084059543,0.5814664555,1.5766020908,2.6153161789,2.9273729367,2.1765828722,4.4550288203,3.6468473689,4.5683816882,4.8227161656,2.0731825855,1.3295341999,2.585555453,1.4752813136,0.9561613237,0.3928661023,3.3485042031,1.8926040302,1.6301020641,1.596287263,-1.2039391383,-2.8994474417,-0.5646695188,
Oman,,-1.1805134532,17.3403529897,1.9823266783,-2.4265182214,-2.126693267,2.4227910719,61.6412126947,76.6183185186,21.8000959935,10.1530877712,-2.6099056966,5.7864016067,-17.6399057545,6.6995237707,18.607766746,14.4992167891,-4.2977582882,-8.9064275487,-1.3938989922,0.2147613625,10.6302035726,5.5093668771,10.5297255718,10.921996789,8.7662334693,-2.2475916448,-7.1018233257,2.1424697539,7.6733824827,-3.9386692275,1.7708976665,3.9129538359,1.9274318735,0.5813907502,2.6730308536,1.8273066907,5.671454365,2.8010888384,0.0330469558,5.1795523251,6.7738465965,1.5126097166,-1.1209224274,1.5579749035,1.8035216912,2.9114457444,3.8573973708,9.5585693087,-1.7023969993,,
Pakistan,,3.4786977131,1.9576402719,6.0149932976,4.8846917438,7.6286110018,3.0814792377,2.6659187537,4.4176841463,2.7086825,8.3685439689,-2.2495273093,-1.9458864113,4.0777831093,0.5721421591,1.1290308345,1.9558829899,0.7079930427,4.6061464193,0.3864238877,6.5738220143,4.3085431145,2.9439706201,3.1718991466,1.5361681405,4.019508353,2.0381514303,3.0077161588,4.2324265336,1.7816627468,1.4482095628,2.2055048762,4.9311606189,-0.7810371649,1.1532935168,2.3045625417,2.1274485781,-1.6330389412,-0.0931937645,1.1263661448,1.9074737426,-0.115605882,1.2689325027,2.975426265,5.4947053859,5.7769496374,4.2922336021,3.7986532486,-0.2222508316,1.7408404737,2.2852680121,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8910532276,-14.7198654023,4.3691085456,8.0076272169,7.6546625975,-0.1160927073,-0.2027841298,-7.1741258741,-1.2485499687,0.0991444181,-4.3430746436,-1.9263326226,4.3437963945,4.9541093138,2.459547249,1.5569688836,-5.4171544394,-2.6677872801,1.3722157093,
Panama,,7.5738443574,5.2563375857,5.3090846644,1.5183831011,5.9782231042,4.4008731359,5.4194480164,3.849004062,5.4417232172,3.4124987097,6.6392209701,1.7664768459,2.6199640014,-0.2239006562,-1.0140847858,-0.9261149872,-1.3622008813,7.0603358934,2.0150571362,-1.2508021672,6.7348385535,3.0206387305,-6.5572518808,0.5263855065,2.7430256935,1.426755832,-3.8141214653,-15.1356032353,-0.4929986854,5.9068337418,7.1935628638,5.9978499983,3.3087678717,0.7628360056,-0.3017703452,0.7484763406,4.3406917986,5.2255353503,1.8973757406,0.7525372561,-1.3122322738,0.3473381951,2.3239974392,5.6161298064,5.3259779968,6.6744192049,10.2359042194,8.9159835001,0.7571448644,3.1887359222,
Papua New Guinea,,4.3723118219,4.4883954836,2.1439702315,6.4573212942,8.0099137075,3.5468866526,1.7461580943,1.9172444668,5.6030418171,7.9641298063,3.3942328135,2.6493444924,3.4574940412,-0.3303287056,-3.6607637382,-6.024425271,-1.8530763797,5.6955345471,-0.8467157999,-4.8967098022,-2.9518684154,-2.3541581326,0.4543350487,-2.97671447,1.3380978804,2.0912097153,0.2753002647,0.4442298005,-3.7798617475,-5.3548610928,6.8764868498,11.0534743699,15.2697864296,3.2793227002,-5.7760492856,4.9500251748,-6.4135589502,-6.2893481888,-0.7956533778,-5.0012359155,-2.6507860673,-2.6524820714,-0.3549178965,0.215270854,1.0926063793,0.1290265656,4.6627366698,4.2079751355,3.0748267921,5.5647401575,
Paraguay,,4.271696704,-1.3000441406,1.1511855926,1.1565080186,2.5894023491,-1.5122399636,5.6414214016,0.4387792558,1.4426392272,2.2544146777,2.8786069596,3.90936349,4.6675473697,5.6665899541,3.7443630485,4.3762008065,8.1481711034,8.4864175455,8.4038698843,11.6738369952,5.4690399761,-6.5021117621,-5.8611162038,0.0745429489,0.9907585059,-2.8206325429,1.4413731423,3.4649967551,2.9851512993,0.4110094907,-0.1301569211,0.8644233624,1.405697013,1.2873959877,3.0323215405,-1.8446103842,0.7430277673,-1.5680169835,-3.544219906,-5.3339063856,-0.0013992286,-2.0385052485,1.8080048539,2.1363347526,0.9403429623,2.3991844039,4.829993242,3.9422986743,-5.5393894646,13.0474704172,
Peru,,4.3344791892,5.2569403943,0.752822181,3.5612066983,1.9758526802,5.3701501641,0.9079454406,-2.3998538004,0.9496534791,2.9310534505,1.3186937632,0.0494002086,2.4957961592,6.2780864219,0.6064508056,-0.7774950184,-2.2707356762,-2.3512707169,3.0729682059,0.4884337241,4.5604408826,-2.9673694042,-13.8539687281,2.7914957959,0.4783233148,7.5477376644,5.6297636952,-10.6645714587,-13.5526344799,-7.0759234919,0.1498907325,-2.3325310274,2.8187562908,10.7761014434,6.6824350542,0.7361745621,5.0502314962,-2.2890705796,-0.6679527089,1.4247185261,-1.1850233276,3.6333957051,2.7294184802,3.721686299,5.5989176327,6.5511452708,7.7468454543,8.6566278031,-0.2228977721,7.6220032434,
Philippines,,2.1498620363,1.3524920462,3.6076609826,0.1792950263,2.0259649872,1.2985254966,2.2431912755,1.9285141736,1.6752779361,0.8188916855,2.4416063302,2.4682680382,5.8530548986,0.6515539577,2.6128410135,5.776012652,2.6708766435,2.2598720465,2.7178839673,2.2429725857,0.5701215314,0.7707426563,-0.9122268342,-9.842203434,-9.8044105779,0.6529101882,1.5516077633,3.9721153904,3.5015579605,0.4847625509,-2.9686788343,-2.0092465255,-0.2210255653,2.0298661271,2.3323593548,3.4907520883,2.8679234969,-2.7436363291,0.863141228,2.1957949227,0.7382068385,1.5043134462,2.8483865631,4.6094787417,2.806059861,3.3464596545,4.768994538,2.3965235021,-0.5392025768,5.8342842638,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3447910132,2.2010658651,3.4746827803,5.0708555098,6.8067989153,6.1581271433,7.0162097399,4.944106257,4.5328773675,4.8197255087,1.749538333,1.4904976212,3.937285798,5.4064579369,3.6625984302,6.2948248731,6.8432787743,5.1122135638,1.5371375065,3.8558572679,
Portugal,,4.6886685469,5.8478632434,5.4472929057,6.2517993662,7.9081276076,4.8657489755,8.2288053913,9.3421018378,3.0412930541,13.6152037011,7.0840848227,8.1824801585,11.1662795072,-0.2581651576,-7.9146078435,3.9027132288,4.4872878709,1.7125896884,4.5125429152,3.4643713244,0.7408014812,1.5128935919,-0.6352021311,-2.2565785691,2.5266056766,4.0462786121,6.4100626709,7.6009032268,6.5960709587,4.1773289871,4.5288232309,1.0684371899,-2.1672906432,0.7479533054,4.0093992548,3.4049847145,4.0628455754,4.7421298058,3.6366919394,3.3679130747,1.3095511109,0.0314975195,-1.6008583759,0.9714415003,0.3218905909,1.1135304464,2.1337285061,-0.1409008913,-3.0003642609,1.3305804091,
Puerto Rico,,7.6353170312,5.3089793112,8.0101279849,5.0332200564,7.4011432963,5.7963063434,5.4507041053,4.1057942933,7.9589039673,7.3334574708,4.6355787045,5.2826608236,3.6958606587,-2.0033657606,-4.3250232688,3.5500962527,4.9962236015,5.2214553392,4.8141095699,0.3258837817,-0.06906,-4.0797721695,-0.5558402978,6.2573808636,1.0669482547,7.1326815162,3.9347776629,5.5236714107,3.9882302054,2.8626992288,1.5832234268,3.8909364373,3.7674994557,3.2220033998,3.5881770725,1.1718591971,3.9102096091,4.9255054079,4.8641186169,2.8839301205,5.6659468829,0.3807007784,-0.420838201,2.5672739297,0.3931836948,-0.5561526474,-2.7923451969,-2.2068582896,-2.5888048788,-2.3365850637,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4219026161,4.3672979515,-1.1542328185,10.4264132867,-6.2715934255,-0.4749497105,5.24947377,5.8976921909,-5.0731800233,,
Romania,,,,,,,,,,,,,,,,,,,,,,-0.0098026144,3.5376141145,5.7552321572,5.5861211233,-0.5360191618,1.9356075031,0.4047632876,-0.9661990484,-6.2218505333,-5.7642826284,-12.1400757364,-8.0130858983,1.6495954115,4.1214844991,7.3769291709,4.3090143936,-5.8320567055,-4.5917890515,-1.044787333,2.2322455838,7.1853110568,6.6851484658,5.4957115483,8.6855422771,4.4155528459,8.1334420729,6.2006814632,9.5949283944,-8.3584886055,1.1475504427,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3734952406,-5.2590479683,-14.5684368613,-8.5646148324,-12.4613051313,-4.0173512379,-3.3376941769,1.6994419703,-5.0389124501,6.8290645141,10.0045111857,5.3464664556,5.2121627589,7.8154498844,7.7346460237,6.8960475709,8.646763417,8.8405976762,5.3591701086,-7.7491036936,4.1076714156,
Rwanda,,-7.135195982,8.0343107496,-12.4917737777,-15.0577283276,3.8380532952,3.8346826117,3.7387188367,3.8211108194,7.6746392477,2.7935341086,-1.877563151,-2.8133721813,0.2329855734,-1.7737138752,-5.2303546539,15.6465984709,-1.3326103032,5.5764595696,8.2188492551,5.425140369,2.1959941919,-1.1384967819,2.867823614,-7.350001878,0.5974752189,0.9035637716,-4.7574324219,0.1823694479,-2.3553221206,-2.1888113034,0.8671744728,12.739345622,-0.9188746877,-47.2872211519,37.1200585548,8.2072960425,4.9210261787,-1.2742824013,-1.4810355611,1.2191225885,3.8989770329,7.9441864188,0.3368682658,5.5905089152,7.0185294021,6.4278549614,2.5760932126,7.9369369254,0.9987588538,4.3356610034,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,7.2221868481,9.4777499747,6.4811862142,0.3196923209,-2.3243237482,-0.0943644227,12.9669379973,8.6900618065,12.06959999,9.0784957264,9.4407805839,7.985423085,2.6193631958,0.9335688459,3.8430036916,7.1857282381,5.6019656456,4.1362935795,6.8822922317,7.1108696404,2.6810709804,-0.0922291401,-1.9166284033,-1.991168248,-0.2709234783,0.4696042494,3.5709211224,4.2587439412,4.1546366601,5.3539044956,4.7836436662,-7.4358845969,-5.4523770402,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,1.8350175248,-12.3153926161,2.7874181528,21.6932681994,-7.2417380277,13.1545172684,0.5071574101,10.5334100122,7.5787463233,21.7944436202,1.2434707498,6.1235689823,0.5516772626,-0.5555095717,1.3362431808,4.252399461,-1.3432449329,4.7531494227,1.1925072424,-1.4746686811,-6.262267985,2.3048020095,1.086486902,4.4478229493,3.1343307123,4.574695787,-0.0029606014,4.1668885809,-2.261288673,2.1335151528,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,3.0053996522,2.3695395581,-7.3344859098,2.562061324,-0.1676296157,-1.0246019594,-10.4291859683,5.4496846208,1.82221749,9.5976076647,1.8645447669,24.4461046707,-12.093869799,-9.8321501802,-8.6090530511,9.2137377661,1.7804951508,10.792511653,2.3667710525,1.1009615885,5.2223011981,3.956684928,3.607941688,5.1222263606,5.3715633209,5.9313233274,3.8519431291,13.9140003302,1.9652812179,4.6223041926,0.3301277134,7.329351013,0.0638342722,-3.0373548902,1.00362963,1.3757921229,13.3481788326,5.2453768492,4.4417523235,1.7768475596,2.1339710222,3.6849533294,2.8791971158,6.367728253,1.9500708107,9.3657590182,3.4342573761,1.5434015328,-1.2526514151,-1.0442924104,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,0.2438384029,1.0693885589,3.6148588333,5.0947041496,0.001277297,-1.9976672323,3.0528234475,-5.0791470643,-3.019051538,-0.9835834622,3.2289911196,-3.4134012348,5.5465918181,6.1938142476,-0.2511249532,1.3461291632,1.3321364513,6.188807245,6.4308390024,3.9151149969,4.3819777995,4.4666607215,3.8348578171,1.6890930421,6.1854689275,-3.9780097482,-2.0424680064,0.8271605137,
San Marino,,,,,,,,,,,,0.9580655153,3.1773593296,6.7406117832,4.9608490835,-2.9286505902,5.7641811313,0.9194492631,1.3932612515,4.0921254597,1.7671656101,-0.5912673183,-0.8786837343,-0.0354869301,2.0338045588,1.6201645553,1.6769304302,2.0274118515,3.014018216,2.1918398471,0.8393451139,0.2534707269,-0.5571339792,7.3260256758,5.6852898436,8.1343349007,3.9715573096,1.6976779207,6.726011191,7.9270790177,0.6065115916,3.3989333925,-2.2595980291,1.1801249768,2.1162040083,0.3650228324,2.4350306293,2.5388547987,1.2748910389,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8011478801,3.8021324048,4.9891168835,4.0693841576,5.0587517115,4.3893976271,4.1512985461,2.2958373073,2.9261666667,
Saudi Arabia,,,,,,,,,,2.0155469903,7.5212377529,14.8327832425,17.9655948347,19.7117027498,21.2047690946,-0.1953172052,6.7394617976,1.2042753873,-6.4948099172,3.4821256959,0.1675423893,-1.7201371629,-16.577084461,-13.723460901,-8.5383938681,-9.2335716959,0.225274208,-8.0123177772,4.0778751973,-3.4948415657,4.7123831131,5.6302771026,1.4675465762,-2.749842575,-1.769405494,-1.8249913572,1.7624851268,1.3295957325,1.5742220451,-2.3822150549,2.4249008042,-2.5460554016,-3.5177300597,3.459129233,1.2791409651,1.9211628369,0.0034056668,-0.8017999029,1.5899266434,-2.2421272044,1.3467709931,
Senegal,,0.264966997,-2.815168434,-0.921208987,0.9635928765,-1.6059328889,-0.1838135881,-4.2137062092,3.0174138202,-9.47009508,5.1450633778,-3.3216061595,2.9767730968,-8.549639816,1.0839284454,4.5332256694,6.1119236999,-5.0308409581,-6.1977593396,4.4615375983,-5.7160098437,2.3228616358,4.9158971124,-7.9760100091,0.7815173772,0.2933286399,0.0951296206,2.9581107899,-3.5461435292,0.8880329668,-3.6143011288,-0.4678914729,-1.7247346836,-1.6200057733,-2.8174828978,2.5184246377,-0.6324443133,0.5398870666,3.288853875,3.7097916607,0.5855709267,1.8698592711,-1.9998789678,3.8154109788,3.0645888332,2.8038136782,-0.2041271713,2.0682500458,0.9551206578,-0.6051523782,1.3939704972,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0606380174,-9.8970605707,-27.6443014363,-30.9857747369,2.0317715594,6.0403986151,8.2210320393,10.9527397992,1.7896106062,-10.8779816882,5.6764908267,5.4812155716,4.1699357319,2.941353969,9.5553257556,5.7171305547,4.0081618885,5.8282208454,4.2428384398,-3.1122762149,1.3670238428,
Seychelles,,-7.519112854,5.5698164288,7.3727287606,3.2986088572,-3.515093032,-0.4105998235,-1.9358483326,4.9803996795,-2.3511833831,6.3635935749,13.2424663575,3.9714310469,6.7383168866,-0.7453147733,1.2144030518,14.162952483,-7.7679435301,19.287676835,14.1803401479,-5.4474976216,-9.2404889487,-2.0985378802,-2.578463498,3.6755776518,10.3043470929,-0.8786081662,3.6783672951,4.6387057191,10.3333824011,6.0594029272,1.6639280875,5.8125401444,4.6566472701,-2.4267261631,-2.6422766438,3.3894191135,10.6554188902,6.3039641319,-0.1094376095,3.3267111237,-2.3566135605,-1.8078323919,-4.8641619469,-2.4971827778,6.9519602938,6.1242985457,9.1399104646,-3.4827142463,0.3054961167,6.5637655172,
Sierra Leone,,0.2150792868,2.878040707,0.0546672102,4.9282584091,5.3824002333,-0.0399965212,-1.7071343271,0.2185215113,6.596532016,6.6838058894,1.6185683619,-0.9110724429,0.3943470203,1.5664517856,-0.2912461815,-2.4313809601,-2.0016299021,0.2599251689,2.2810600097,2.5750647651,0.6767150772,2.5660241582,-4.2174078691,1.6979191486,-7.6543494858,-1.5176650628,4.1630406536,-9.565266641,-1.3682635916,2.058633435,1.9984487859,-18.6897279418,2.2204077799,-1.1543683427,-7.603806487,5.0050100342,-17.0698170207,-1.8412740824,-9.822255434,0.929548696,13.7566691077,21.7565814156,4.1008206356,2.6917091377,2.9917370636,3.7783740056,3.5095777004,3.0172538958,0.9134248417,2.6640858037,
Singapore,,10.0754136195,-2.7823924526,6.1758262955,-2.0057483377,11.1524169525,8.1580400987,9.7617283963,11.6327489223,11.9275209468,12.059610168,10.0169810545,11.4312235111,9.0118465292,4.5414801368,2.9152653137,5.9954951627,5.9836513387,7.3375754957,8.0208997508,8.6794339101,5.5236674494,2.5694617369,7.191059701,6.7934382036,-0.7953451112,1.3984746682,9.0955648032,8.3025085593,7.0317199863,5.9150769226,3.4930663544,3.8640773386,8.6936714886,7.1628749761,4.067142829,3.4490397235,4.9709607881,-5.3779187509,5.3681551913,7.1997415645,-3.8481962127,3.2906105185,6.1544107962,7.8756676994,4.8881295426,5.354266654,4.337010665,-3.772520977,-3.7185382671,12.4555671397,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,2.8031902105,3.5234787182,1.8909406343,1.402652424,0.722063832,-3.0979190865,-14.6399592348,-6.7517655967,-4.0668955487,5.7878461776,5.5342159655,6.7152432948,4.2489091927,4.2210757943,-0.0642966846,1.5057138431,3.6715480754,4.5792177754,4.7642955712,5.0025469913,6.5648761324,8.2568247212,10.3729665169,5.7081043873,-5.1204400241,4.0245082426,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.9578810179,-5.3249128918,3.0887865931,5.4494157586,3.620210685,3.7125617261,5.0985486011,3.7409502378,5.2504074165,3.9572832951,2.7776326026,3.6982728638,2.8680046719,4.3349420697,3.8272620217,5.5123595454,6.2742305806,3.425600197,-8.8356066304,0.9178641535,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0594993315,9.5395219484,1.0663157583,6.1571138928,5.2462620464,-1.1567984278,-4.0961438801,-0.9507586185,-3.1658343348,-16.5967837748,-10.4968085478,-5.47121338,3.5670460274,2.0114325289,2.5296584552,4.0249915165,7.6921992387,4.4123566063,-3.8209686621,4.2404739777,
Somalia,,-5.4520557649,4.6276598075,0.4266834405,-8.3214596886,-8.1983467472,6.285638976,3.0005806649,-0.7736687301,-4.0954166069,2.4675090598,1.3459618614,9.2995910123,-3.3090398793,-21.141501807,21.9546167641,-9.8411975269,10.5534910402,-6.6571845255,-10.5343500796,-9.0056332223,3.0661820616,3.9087077768,-7.5372041417,5.1919527311,9.1023535636,3.213969536,4.2098283378,-1.7454861126,-1.1731788,-1.9175801521,,,,,,,,,,,,,,,,,,,,,
South Africa,,0.6405852043,3.2467815418,4.6705550534,5.4102801383,6.4720814078,2.1887991558,4.925638983,1.9551352988,2.4930186952,2.987568207,1.9012624176,-0.6481016681,2.2307631345,3.7689395144,-0.5178565081,0.0644386521,-2.1749453248,0.8657344493,1.5349847652,4.1646064874,2.8300583965,-2.8493163782,-4.3303194174,2.4070925491,-3.7437010261,-2.5149728502,-0.4159742822,1.7426988763,0.1324972797,-2.3268641459,-3.0377338706,-4.1578244389,-0.881778187,1.0514096351,0.910049597,2.011319092,0.3247226085,-1.8183320274,-0.0832955546,1.6063152175,0.654308395,2.2481622049,1.6471518175,3.32610383,4.0866930652,4.4256234897,4.4164726093,2.4388300038,-2.7329894085,1.4689787402,
Spain,,10.8044868565,8.9464702898,8.639492989,4.2672454166,5.1056321443,6.1534347246,3.0641265962,5.2121722913,7.8390830511,3.0935989221,3.4951506354,7.1748225739,6.8152349599,4.605490309,-0.5228686216,2.128995725,1.6209893105,0.0803825431,-0.8421728599,1.5592273299,-0.9303412801,0.7067811242,1.2905986994,1.3694873326,1.9479271461,2.9403647998,5.2870089922,4.8635126686,4.6226699397,3.6238879253,2.312635563,0.5967369089,-1.3387180619,2.1081400678,2.5173431387,2.180495472,3.5951906645,4.1033870843,4.2077033497,4.170692179,2.4840924967,1.2288351961,1.4014901419,1.6046483931,1.9276466087,2.3250138639,1.8145216253,-0.6384983302,-4.4625936098,-0.4957555599,
Sri Lanka,,1.9067481437,1.519735439,0.247687642,1.5886718392,0.2240619142,2.6270742362,4.0006950456,3.4028904949,5.3443422884,1.6524734975,-0.7316971374,-2.3259051285,5.0669666436,1.9462761934,4.1937907515,1.4541009293,3.200901774,3.7809601687,4.5859930945,4.1256278054,4.0776031222,2.6258450341,3.3447174948,3.6462963107,3.545602119,2.9037468678,0.3175425125,1.0809937145,0.9633086988,5.0866322802,3.3728024144,3.234418432,5.7986075352,4.6420781748,4.6910595124,3.1712324071,5.8992582077,4.2354980014,3.7400374284,5.2367468719,-2.4648373292,2.8111186176,4.6508344067,4.1505573489,4.9999278902,6.4892908445,5.6902806245,4.9071439787,2.5604144669,7.0232201924,
Sudan,,-2.315401275,4.4123162013,-5.127092126,-3.4479013564,4.2509335749,-5.8660104714,-1.0069182559,-0.5345594581,-1.1863408845,3.1141336851,-0.5851151293,-7.7968524271,-2.339382265,8.0924948743,12.1904333459,13.0965154399,2.962995259,-8.8451991642,-8.0103957191,-1.730529738,3.9184126611,2.4534689964,-1.2471563834,-7.9167718595,-8.9189005573,2.7281822391,11.5547374443,-2.5438969636,6.496779493,-7.6770935738,4.8756798924,3.8773240754,1.8648105006,-1.6126003404,3.2749241176,3.22069471,7.763199508,1.6948845707,0.572417437,5.7827036906,3.6949617921,2.9663574191,4.7257458634,-0.5294243843,3.8159473605,8.5849539304,7.4204971029,4.1508706594,1.3610667718,1.8755591159,
Suriname,,,,,,,,,,,,,,,,,-2.932170672,10.3136445412,7.2668277158,-6.1302085224,-5.5203945672,-0.1526012541,-2.1733604488,-3.4799698305,-4.5121756243,-2.6263202743,-4.568476602,-14.7748832191,6.6144252697,8.5823256279,-2.0861838918,1.2580909042,-1.5865426239,-8.4853466876,1.8929155841,-0.2481397076,-0.0987925136,4.3055908595,0.1709638216,-2.223477279,-1.4383752367,3.0956372327,3.3654129536,4.5510422369,7.2844480329,3.287262125,2.6370938231,4.0875183996,3.6583334567,2.1135312157,,
Swaziland,,,,,,,,,,,,10.5501607925,2.3825834729,5.8092360978,2.5914781821,10.4902484188,-5.0892516862,-2.0912706207,-1.7874883438,-0.0273420738,9.0836997321,11.3275456378,-1.6815089382,-1.7452165118,2.7636318121,0.076580748,7.7852019837,9.7310482656,2.0544910343,8.5172881678,16.9576873884,-1.051181063,0.8743550697,1.0736402809,0.4507058287,2.7383659022,1.6230108325,0.8302557277,2.4697857971,2.8161671751,1.6270242027,1.0255162078,1.6440327041,2.1063163529,2.772034518,2.329259537,3.1673937968,3.3673346451,1.2023113605,0.0668985133,0.7934829545,
Sweden,,5.1848620934,3.685332287,4.7359040996,6.0263491665,2.8482058505,1.1239818317,2.575483277,3.0574423211,4.2742855385,5.0567284653,0.252434849,1.9869213439,3.7889320264,2.8991847975,2.1462532506,0.6912381115,-1.9451271647,1.4557337464,3.6136475563,1.4937331384,-0.3218789945,1.1352562957,1.7636689561,4.1765994552,2.0210274785,2.6221469123,3.1124677762,2.1956331658,2.0957055386,0.2328978758,-1.7929965133,-1.7812695343,-2.6250249049,3.2760197062,3.3945944242,1.4506326197,2.6496216983,4.147122362,4.5783111737,4.2846025409,0.9908155793,2.1504391378,1.9556254361,3.8257121681,2.7490248463,3.7121709502,2.5509495884,-1.3846626771,-5.9765352938,4.7148089722,
Switzerland,,,,,,,,,,,,,,,,,,,,,,1.0470282069,-1.8843769436,0.2084750921,2.639204451,3.2169450984,1.329945824,0.949403508,2.5213471345,3.4906430051,2.6154662383,-2.1764931578,-0.9977397496,-1.0901938691,0.3873768985,-0.3181100764,0.1849946039,1.8300706356,2.3340618459,0.8291116079,3.0016521732,0.5140387245,-0.3138136401,-0.9355066521,1.8302778361,1.9852289598,2.9820827402,2.7223948552,0.8064361695,-3.0964216356,1.6355997547,
Syria,,7.307247778,20.5440062294,-11.5865279302,5.7340471415,-1.0422210019,-10.6989899595,4.6733899625,0.2791153304,14.8047080657,-7.0243272497,6.2306540532,20.8281242916,-11.6102083476,19.9955887338,15.5824750792,7.3482357904,-4.4565349783,5.2201983187,0.246182094,8.2537196864,5.7882795459,-1.3861696556,-2.0480475074,-7.300264672,2.6473201154,-7.9497702296,-1.2171778438,9.8793618476,-11.6342608331,4.5153238703,4.7886997933,10.2283299321,2.2411005058,4.7642567144,3.0502767072,1.8997155627,-0.5134588284,3.9317145352,-5.8606957687,0.0715487855,2.2191683478,2.7285908828,-2.4322810888,3.8441098558,3.4460517735,2.9022350365,3.5882499368,2.4122243935,3.8822563226,1.1362605744,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2794025358,-4.3318016482,10.3792061034,-9.1631202148,-3.0904018968,-9.0824196199,-30.28949609,-17.7252901164,-22.4603865003,-13.6674037002,-17.9072125923,0.2485824738,3.8588602473,2.3988463809,7.0975028897,9.143015659,8.176249342,9.3145530403,9.6586630199,9.4219336664,5.5324648095,5.7072693373,6.3985743526,6.4370154746,2.3573022242,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6038597597,3.789191083,-1.2650231066,-2.7729043222,-2.1473183927,-1.6586647357,0.48890769,1.6566271783,0.8386045757,1.1244848982,2.2498197184,2.3019929379,3.2900288864,4.387791573,4.0225781772,4.952222557,4.4564023702,3.7924187674,4.146689995,4.3887577068,2.9844429331,3.9763069704,
Thailand,,2.2283517604,4.3395536607,4.7620920481,3.6246250925,4.9374702767,7.8032522759,5.3923651898,4.936872591,3.4365478195,8.1833994465,1.8894659214,1.3319347332,7.1945860029,1.6851672314,2.2976418675,6.674323168,7.2987925745,7.8454456026,3.1101793321,2.9799015413,3.7702875441,3.3011949318,3.5779906263,3.7620009266,2.6825091983,3.5333481911,7.4465143002,11.2381370748,10.3677758357,9.6340469339,7.3554031054,7.1284281123,7.4296158703,8.1475456242,8.278853991,4.8328852292,-2.4649767032,-11.5645596195,3.1953486025,3.512094398,0.9779301118,4.1053491482,5.9478764662,5.2331401369,3.6039526709,4.1901571646,4.238518992,1.7764352608,-2.95269265,7.1618618888,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7414353226,-14.7331628344,-1.6832565775,-4.5403687735,-0.4096935559,2.4016882719,-8.3217493025,5.5150363746,11.1769964906,5.157853272,5.1172711059,
